Code,University ,Code of university,City,Address
5B020700,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B030100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B050600,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B050700,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B050800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B050900,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B051000,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B060800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B070300,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B070600,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B070800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B071200,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B071300,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B071500,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B071800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B072100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B072400,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B072900,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B073100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B073200,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B090100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B090200,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B090300,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
