,# of rooms,Area,Floor,Location,Price
9195,2,65.0,5,Жетысуский,15800000.0
9196,1,40.0,2,Медеуский,25000000.0
9197,2,70.0,5,Медеуский,53000000.0
9198,2,65.0,10,Ауэзовский,30000000.0
9199,2,44.0,3,Турксибский,12500000.0
9200,2,48.5,4,Алмалинский,27000000.0
9201,3,72.0,8,Бостандыкский,35000000.0
9202,1,39.0,3,Жетысуский,11000000.0
9203,2,51.5,2,Турксибский,18000000.0
9204,3,67.0,3,Турксибский,20000000.0
9205,3,76.8,10,Жетысуский,25000000.0
9206,1,20.0,3,Жетысуский,5000000.0
9207,3,100.0,5,Ауэзовский,40500000.0
9208,3,140.0,5,Бостандыкский,63500000.0
9209,2,120.0,8,Бостандыкский,54000000.0
9210,3,70.0,1,Ауэзовский,20000000.0
9211,2,54.0,5,Жетысуский,11000000.0
9212,3,116.0,4,Медеуский,35000000.0
9213,3,60.0,2,Бостандыкский,23000000.0
9214,4,120.0,3,Турксибский,29500000.0
9215,1,45.0,7,Медеуский,25000000.0
9216,1,52.5,7,Алмалинский,17200000.0
9217,3,118.0,1,Медеуский,87000000.0
9218,2,61.0,4,Жетысуский,15500000.0
9219,2,73.0,4,Турксибский,21000000.0
9220,1,43.0,5,Медеуский,20000000.0
9221,4,100.0,6,Медеуский,43000000.0
9222,3,67.0,1,Медеуский,44000000.0
9223,4,120.0,5,Медеуский,55000000.0
9224,3,75.0,5,Медеуский,35000000.0
9225,1,50.9,7,Алмалинский,29267500.0
9226,3,60.0,3,Медеуский,29000000.0
9227,2,46.0,1,Медеуский,23000000.0
9228,2,73.0,16,Медеуский,47000000.0
9229,1,12.0,1,Ауэзовский,4500000.0
9230,4,110.0,6,Наурызбайский,45000000.0
9231,3,58.0,4,Ауэзовский,20700000.0
9232,2,59.1,8,Ауэзовский,23000000.0
9233,2,60.9,5,Жетысуский,20000000.0
9234,3,66.7,2,Жетысуский,13000000.0
9235,4,82.0,4,Ауэзовский,28000000.0
9236,3,76.0,9,Медеуский,25000000.0
9237,3,51.7,1,Жетысуский,12500000.0
9238,3,64.0,4,Турксибский,14000000.0
9239,3,63.0,4,Бостандыкский,30900000.0
9240,1,36.5,9,Алмалинский,12900000.0
9241,3,87.0,4,Медеуский,34000000.0
9242,3,90.0,4,Медеуский,58000000.0
9243,3,61.5,4,Медеуский,21000000.0
9244,4,76.0,2,Алмалинский,28000000.0
9245,3,66.0,4,Бостандыкский,27000000.0
9246,3,60.0,5,Бостандыкский,22999999.0
9247,2,67.0,10,Алмалинский,23500000.0
9248,2,40.0,1,Бостандыкский,17000000.0
9249,3,67.7,1,Алмалинский,22000000.0
9250,3,63.0,5,Турксибский,20000000.0
9251,2,80.0,4,Алатауский,24500000.0
9252,2,53.3,2,Алмалинский,17000000.0
9253,1,36.6,4,Бостандыкский,17900000.0
9254,1,55.0,7,Ауэзовский,20700000.0
9255,3,72.0,5,Алмалинский,30000000.0
9256,4,82.0,3,Ауэзовский,31000000.0
9257,4,135.0,14,Алмалинский,63000000.0
9258,2,61.0,8,Бостандыкский,40000000.0
9259,3,67.9,4,Ауэзовский,23000000.0
